artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Kylie Minogue;Spinning Around;207866;2000;120.043;pop, Dance/Electronic;0.662;6;-7.645
2 Chainz;We Own It (Fast & Furious);227906;2013;171.999;hip hop, pop;0.902;1;-4.586
Monica;So Gone;242773;2003;81.975;pop, R&B;0.552;8;-6.863
Trey Songz;Bottoms Up (feat. Nicki Minaj);242013;2010;74.008;hip hop, pop, R&B;0.601;1;-5.283
Birdy;Let It All Go;280757;2015;107.005;pop;0.43;10;-8.644
Daniel Bedingfield;Gotta Get Thru This - D'N'D Radio Edit;162333;2002;133.592;pop;0.762;7;-5.044
Jamelia;Superstar;215480;2003;110.01;pop;0.645;1;-6.93
Katy Perry;Dark Horse;215672;2013;131.934;pop;0.585;6;-6.123
The Chainsmokers;#SELFIE - Original Mix;183750;2014;127.955;pop, Dance/Electronic;0.915;0;-3.263
Flo Rida;My House;192190;2015;94.006;hip hop, pop;0.702;7;-4.792
JAY-Z;03' Bonnie & Clyde;205560;2002;89.64;hip hop;0.678;9;-5.148
Enrique Iglesias;I Like It;231373;2010;129.007;pop, latin;0.942;10;-2.881
Sak Noel;Loca People - Radio Edit;215624;2011;127.998;Dance/Electronic;0.808;11;-3.148
Snow Patrol;You're All I Have;273333;2006;132.013;World/Traditional, rock, pop;0.921;2;-4.554
Mario;Break Up;249026;2009;73.881;pop, R&B;0.517;0;-7.355
Creed;My Sacrifice;294600;2001;146.349;pop, rock, metal;0.88;2;-6.035
Kanye West;Can't Tell Me Nothing;271600;2007;80.029;hip hop;0.62;5;-6.133
Leona Lewis;Bleeding Love;262466;2007;104.036;pop, R&B;0.656;5;-5.886
Rascal Flatts;What Hurts The Most;214106;2006;136.002;country;0.674;5;-5.134
Maroon 5;Payphone;231173;2012;110.015;pop;0.752;4;-4.813
The xx;Intro;127920;2009;100.363;rock;0.778;9;-8.871
Lil Wayne;Lollipop;299333;2008;148.075;hip hop, pop;0.428;0;-9.469
Sean Paul;(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version;243880;2006;95.824;hip hop, pop;0.761;8;-3.04
Tinie Tempah;Girls Like (feat. Zara Larsson);196000;2016;120.028;hip hop, pop, Dance/Electronic;0.804;0;-3.406
Kygo;Stole the Show;222813;2016;99.886;pop, Dance/Electronic;0.633;8;-6.443
Kelly Clarkson;My Life Would Suck Without You;211493;2009;144.982;pop, R&B;0.882;9;-4.006
Bob Sinclar;Love Generation - Radio Edit;207613;2005;128.04;pop, Dance/Electronic;0.812;1;-5.758
Trey Songz;Can't Help but Wait;206413;2007;94.977;hip hop, pop, R&B;0.699;8;-5.564
Flo Rida;Good Feeling;248133;2012;128.011;hip hop, pop;0.89;1;-4.444
Jennifer Lopez;Ain't It Funny;246160;2001;99.825;hip hop, pop, R&B;0.869;5;-4.525
Grimes;Oblivion;251266;2012;155.974;pop, rock, Dance/Electronic;0.529;2;-8.838
The Pussycat Dolls;Stickwitu;207506;2005;79.918;pop, R&B;0.554;9;-6.408
Justin Bieber;Friends (with BloodPop®);189466;2017;104.99;pop;0.739;8;-5.35
Twista;Sunshine (feat. Anthony Hamilton);226013;2004;98.523;hip hop, pop, R&B;0.888;11;-5.337
Halsey;Without Me;201660;2018;136.041;pop, Dance/Electronic;0.488;6;-7.05
Robyn;Dancing On My Own;288670;2010;117.015;pop, Dance/Electronic;0.865;6;-4.663
Arctic Monkeys;Brianstorm;172866;2007;165.182;rock;0.974;1;-4.706
NLE Choppa;Shotta Flow (feat. Blueface) [Remix];176631;2019;120.08;hip hop;0.511;2;-4.768
Jason Aldean;Big Green Tractor;204200;2009;137.077;country;0.596;4;-5.035
Jonas Blue;Fast Car;212424;2015;113.945;pop, Dance/Electronic;0.57;9;-6.994
Gabrielle;Rise;219093;2001;144.673;pop, R&B;0.481;8;-9.487
Wheatus;Teenage Dirtbag;241666;1999;94.661;set();0.85;4;-3.904
Nicole Scherzinger;Don't Hold Your Breath;197440;2011;110.955;pop, Dance/Electronic;0.797;5;-6.096
Sugababes;Freak Like Me;195866;2002;91.868;pop, R&B;0.919;5;-3.451
iann dior;emotions;131213;2019;80.512;hip hop, pop;0.63;9;-6.211
Mike Posner;Cooler Than Me - Single Mix;213293;2010;129.965;hip hop, pop, Dance/Electronic;0.82;7;-4.63
David Banner;Play;230133;2005;95.027;hip hop, pop;0.658;1;-8.013
Beyoncé;Me, Myself and I;301133;2003;83.61;pop, R&B;0.458;1;-9.092
Post Malone;Circles;215280;2019;120.042;hip hop;0.762;0;-3.497
